symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
SBIN,2024-01-03,2024-02-16,609.4,697.83,6,14.51,14.18,TARGET_2,78.1,79.1
ITC,2024-01-03,2024-01-25,409.65,390.09,3,-4.78,-5.14,STOP_LOSS,80.6,83.4
ICICIBANK,2024-01-03,2024-04-19,968.18,1056.43,14,9.12,8.79,TRAIL_STOP,70.2,73.9
HDFCBANK,2024-01-03,2024-01-17,814.18,774.65,2,-4.86,-5.2,STOP_LOSS,66.8,66.3
HINDUNILVR,2024-01-03,2024-01-25,2505.46,2423.15,3,-3.29,-3.62,STOP_LOSS,69.8,73.7
HCLTECH,2024-01-03,2024-02-23,1302.63,1504.31,7,15.48,15.16,TARGET_2,66.7,69.2
BHARTIARTL,2024-01-03,2024-01-25,1020.93,1165.53,3,14.16,13.84,TARGET_2,72.1,73.3
SUNPHARMA,2024-01-03,2024-02-09,1267.02,1418.9,5,11.99,11.67,TARGET_2,69.8,71.7
AXISBANK,2024-01-03,2024-01-25,1096.82,1029.46,3,-6.14,-6.49,STOP_LOSS,73.1,71.0
LT,2024-01-03,2024-04-26,3349.26,3509.75,15,4.79,4.47,END_OF_REPLAY,68.5,70.6
TITAN,2024-01-03,2024-04-19,3669.96,3490.06,14,-4.9,-5.24,STOP_LOSS,65.8,68.5
TRENT,2024-01-03,2024-02-09,3050.68,3658.79,5,19.93,19.63,TARGET_2,65.9,68.5
NTPC,2024-01-03,2024-03-18,289.08,321.99,10,11.39,11.03,TRAIL_STOP,65.9,68.5
M&M,2024-01-03,2024-03-18,1630.12,1848.35,10,13.39,13.07,TRAIL_STOP,70.4,72.1
POWERGRID,2024-01-03,2024-02-02,218.19,254.03,4,16.43,16.06,TARGET_2,68.6,75.7
ONGC,2024-01-03,2024-02-02,184.9,211.11,4,14.18,13.79,TARGET_2,76.6,81.2
ULTRACEMCO,2024-01-03,2024-04-19,9988.62,9411.36,14,-5.78,-6.11,STOP_LOSS,69.4,76.3
ADANIENT,2024-01-03,2024-04-26,2999.0,3076.29,15,2.58,2.25,END_OF_REPLAY,73.8,76.4
JSWSTEEL,2024-01-03,2024-03-18,828.91,774.82,10,-6.53,-6.88,STOP_LOSS,72.7,75.7
ADANIPORTS,2024-01-03,2024-03-18,1079.75,1254.94,10,16.22,15.91,TRAIL_STOP,74.6,77.0
COALINDIA,2024-01-03,2024-02-09,334.25,399.3,5,19.46,19.12,TARGET_2,75.0,80.2
TATASTEEL,2024-01-03,2024-04-03,127.03,146.76,12,15.53,15.11,TARGET_2,68.9,71.0
HDFCLIFE,2024-01-03,2024-01-17,633.29,611.49,2,-3.44,-3.8,STOP_LOSS,67.4,74.8
GRASIM,2024-01-03,2024-04-26,2048.64,2308.51,15,12.69,12.37,T1_PARTIAL_BE,68.2,75.5
DIVISLAB,2024-01-03,2024-01-17,3987.85,3714.06,2,-6.87,-7.2,STOP_LOSS,66.7,66.2
