symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob
ITC,2023-03-10,2023-06-16,325.73,373.92,13,14.8,14.45,TARGET_2,69.9,71.7
LT,2023-03-10,2023-07-03,2077.08,2343.04,15,12.8,12.49,T1_PARTIAL_BE,65.2,67.9
NTPC,2023-03-10,2023-04-20,166.68,157.25,5,-5.66,-6.09,STOP_LOSS,74.1,74.7
POWERGRID,2023-03-10,2023-07-03,150.48,167.64,15,11.41,11.0,T1_PARTIAL_BE,68.8,72.9
ONGC,2023-03-10,2023-07-03,133.93,140.04,15,4.56,4.13,END_OF_REPLAY,69.2,73.2
BAJAJ-AUTO,2023-03-10,2023-04-20,3537.84,3924.55,5,10.93,10.62,TARGET_2,67.8,72.1
HDFCBANK,2023-04-20,2023-08-07,804.46,803.64,15,-0.1,-0.44,END_OF_REPLAY,66.1,70.7
BAJAJ-AUTO,2023-04-27,2023-08-07,4080.56,4505.25,14,10.41,10.09,TRAIL_STOP,70.1,73.9
ICICIBANK,2023-05-05,2023-08-22,904.56,936.65,15,3.55,3.21,END_OF_REPLAY,66.0,70.6
MARUTI,2023-05-05,2023-08-14,8688.24,9345.49,14,7.56,7.25,TRAIL_STOP,69.2,73.2
TITAN,2023-05-05,2023-08-07,2707.04,2963.85,13,9.49,9.17,TRAIL_STOP,73.9,76.5
COALINDIA,2023-05-05,2023-08-22,193.9,191.77,15,-1.1,-1.5,END_OF_REPLAY,65.4,65.1
BRITANNIA,2023-05-05,2023-07-31,4507.49,4886.18,12,8.4,8.09,TRAIL_STOP,71.8,73.1
NTPC,2023-05-12,2023-07-31,161.33,184.85,11,14.58,14.18,TARGET_2,69.6,71.5
EICHERMOT,2023-05-12,2023-07-10,3502.05,3248.19,8,-7.25,-7.59,STOP_LOSS,74.6,76.9
AXISBANK,2023-05-19,2023-09-05,921.61,979.86,15,6.32,5.99,END_OF_REPLAY,68.8,72.8
HINDUNILVR,2023-06-02,2023-07-31,2571.32,2439.26,8,-5.14,-5.47,STOP_LOSS,67.6,66.9
BHARTIARTL,2023-06-02,2023-09-20,821.2,898.69,15,9.44,9.11,T1_PARTIAL_BE,67.9,67.2
M&M,2023-06-02,2023-07-31,1307.34,1464.14,8,11.99,11.67,TRAIL_STOP,65.2,65.0
APOLLOHOSP,2023-06-02,2023-09-20,4926.25,4974.08,15,0.97,0.65,END_OF_REPLAY,67.6,71.9
HEROMOTOCO,2023-06-02,2023-09-20,2619.28,2864.49,15,9.36,9.04,T1_PARTIAL_BE,76.3,78.0
SHRIRAMFIN,2023-06-02,2023-07-03,267.29,318.09,4,19.0,18.65,TARGET_2,66.2,70.8
JSWSTEEL,2023-06-09,2023-09-27,737.58,771.46,15,4.59,4.26,END_OF_REPLAY,67.6,72.0
ULTRACEMCO,2023-06-16,2023-10-05,8194.49,8078.04,15,-1.42,-1.75,END_OF_REPLAY,68.0,70.2
GRASIM,2023-06-16,2023-10-05,1750.88,1868.66,15,6.73,6.4,END_OF_REPLAY,71.7,75.0
DRREDDY,2023-06-16,2023-08-14,963.53,1110.75,8,15.28,14.96,TARGET_2,66.2,70.8
ITC,2023-06-23,2023-08-29,381.75,403.58,9,5.72,5.36,TRAIL_STOP,65.8,68.5
TATACONSUM,2023-06-23,2023-10-12,821.99,872.34,15,6.12,5.79,END_OF_REPLAY,65.1,64.9
SUNPHARMA,2023-07-03,2023-08-29,1004.03,1098.17,8,9.38,9.05,TRAIL_STOP,70.3,69.0
TRENT,2023-07-03,2023-09-12,1747.16,2027.21,10,16.03,15.72,TARGET_2,67.6,70.0
RELIANCE,2023-07-10,2023-09-20,1242.79,1173.44,10,-5.58,-5.92,STOP_LOSS,68.0,72.3
LT,2023-07-10,2023-09-12,2347.47,2687.61,9,14.49,14.18,TARGET_2,71.7,73.1
POWERGRID,2023-07-10,2023-10-05,166.05,180.53,12,8.72,8.32,TRAIL_STOP,69.0,71.0
TATASTEEL,2023-07-10,2023-10-05,108.22,119.96,12,10.85,10.41,TRAIL_STOP,69.4,73.4
ONGC,2023-07-10,2023-10-27,139.91,157.94,15,12.89,12.48,T1_PARTIAL_BE,67.2,66.6
SHRIRAMFIN,2023-07-10,2023-10-27,330.57,377.3,15,14.14,13.79,T1_PARTIAL_BE,71.7,75.0
SBILIFE,2023-07-17,2023-11-03,1307.83,1322.61,15,1.13,0.8,END_OF_REPLAY,65.3,65.1
SBIN,2023-07-24,2023-08-07,584.96,549.14,2,-6.12,-6.48,STOP_LOSS,69.2,68.2
INDUSINDBK,2023-07-24,2023-11-10,1419.94,1482.34,15,4.4,4.07,END_OF_REPLAY,67.7,67.0
CIPLA,2023-07-31,2023-11-20,1142.09,1212.17,15,6.14,5.81,END_OF_REPLAY,67.0,66.5
NTPC,2023-08-07,2023-10-05,200.98,221.48,8,10.2,9.82,TRAIL_STOP,74.3,79.8
M&M,2023-08-07,2023-11-28,1503.72,1542.28,15,2.56,2.23,END_OF_REPLAY,78.0,82.0
BRITANNIA,2023-08-07,2023-11-28,4540.38,4592.7,15,1.15,0.83,END_OF_REPLAY,67.9,75.1
HCLTECH,2023-08-14,2023-12-05,1050.91,1183.82,15,12.65,12.32,T1_PARTIAL_BE,69.5,68.5
TITAN,2023-08-22,2023-12-12,3056.37,3486.24,15,14.06,13.75,TARGET_2,73.0,74.0
HDFCLIFE,2023-08-22,2023-12-12,631.95,703.01,15,11.24,10.91,END_OF_REPLAY,71.2,77.7
DRREDDY,2023-08-22,2023-09-05,1170.71,1108.54,2,-5.31,-5.65,STOP_LOSS,68.2,70.4
ICICIBANK,2023-08-29,2023-10-27,952.14,911.35,8,-4.28,-4.63,STOP_LOSS,71.2,69.7
MARUTI,2023-09-05,2023-12-27,10057.22,10083.1,15,0.26,-0.07,END_OF_REPLAY,73.7,71.4
ADANIPORTS,2023-09-05,2023-12-05,794.28,980.43,12,23.44,23.12,TARGET_2,65.5,70.2
COALINDIA,2023-09-05,2023-10-12,212.22,239.91,5,13.05,12.67,TARGET_2,73.8,71.4
TCS,2023-09-12,2023-10-27,3281.78,3115.17,6,-5.08,-5.41,STOP_LOSS,68.2,72.4
AXISBANK,2023-09-12,2023-12-05,999.27,1140.53,11,14.14,13.81,TARGET_2,77.7,73.8
SUNPHARMA,2023-09-12,2024-01-03,1117.4,1248.68,15,11.75,11.43,T1_PARTIAL_BE,71.4,77.8
BAJFINANCE,2023-09-12,2024-01-03,734.88,730.28,15,-0.63,-0.97,END_OF_REPLAY,67.0,66.5
DRREDDY,2023-09-12,2023-10-27,1120.97,1057.89,6,-5.63,-5.97,STOP_LOSS,69.7,71.5
BAJAJ-AUTO,2023-09-12,2023-11-20,4598.82,5186.87,9,12.79,12.48,TARGET_2,66.3,68.9
LT,2023-09-20,2023-12-12,2813.48,3187.46,11,13.29,12.98,TARGET_2,71.2,77.6
TRENT,2023-09-20,2023-11-10,2056.43,2479.62,7,20.58,20.27,TARGET_2,67.5,69.9
BHARTIARTL,2023-09-27,2023-12-05,907.56,1029.39,9,13.42,13.1,TARGET_2,82.5,81.3
NTPC,2023-10-12,2023-12-05,225.91,266.85,7,18.12,17.76,TARGET_2,70.5,77.1
POWERGRID,2023-10-12,2024-01-03,181.26,211.63,11,16.75,16.37,TARGET_2,77.0,81.5
TATASTEEL,2023-10-12,2023-11-03,118.16,110.72,3,-6.3,-6.77,STOP_LOSS,66.7,69.2
BAJAJFINSV,2023-10-12,2023-11-03,1632.97,1535.43,3,-5.97,-6.31,STOP_LOSS,71.3,69.7
GRASIM,2023-10-12,2023-10-27,1979.04,1861.44,2,-5.94,-6.28,STOP_LOSS,80.9,80.5
ULTRACEMCO,2023-10-19,2023-12-12,8414.99,9725.76,7,15.58,15.27,TARGET_2,76.5,78.1
COALINDIA,2023-10-19,2023-12-05,261.63,300.33,6,14.79,14.43,TARGET_2,70.9,77.5
TATACONSUM,2023-10-19,2024-01-03,875.32,991.29,10,13.25,12.92,TARGET_2,78.0,79.0
HEROMOTOCO,2023-10-19,2023-12-19,2990.49,3478.13,8,16.31,16.0,TARGET_2,81.2,83.7
ONGC,2023-11-03,2024-01-10,163.79,185.46,9,13.23,12.84,TARGET_2,78.0,77.0
GRASIM,2023-11-03,2024-02-23,1874.64,2154.33,15,14.92,14.61,T1_PARTIAL_BE,70.0,73.8
SHRIRAMFIN,2023-11-03,2024-02-16,386.27,457.69,14,18.49,18.15,TARGET_2,74.3,79.8
SBILIFE,2023-11-10,2024-03-01,1348.52,1521.43,15,12.82,12.5,T1_PARTIAL_BE,71.5,69.9
EICHERMOT,2023-11-10,2024-01-03,3457.12,3854.53,7,11.5,11.18,TRAIL_STOP,67.6,66.9
APOLLOHOSP,2023-11-10,2024-02-02,5244.53,6104.44,11,16.4,16.09,TARGET_2,69.1,73.1
TRENT,2023-11-20,2024-01-25,2616.17,3090.73,9,18.14,17.83,TARGET_2,68.2,70.4
INDUSINDBK,2023-11-20,2024-01-25,1488.28,1568.54,9,5.39,5.07,TRAIL_STOP,73.3,79.1
HINDALCO,2023-11-20,2023-12-27,490.87,597.33,5,21.69,21.36,TARGET_2,70.1,68.9
BPCL,2023-11-28,2024-02-02,180.76,212.12,9,17.35,16.97,TARGET_2,69.1,68.1
BAJAJ-AUTO,2023-11-28,2024-01-10,5722.2,6573.09,6,14.87,14.56,TARGET_2,68.2,70.4
ICICIBANK,2023-12-05,2024-03-26,997.11,1066.22,15,6.93,6.6,END_OF_REPLAY,68.6,67.7
HINDUNILVR,2023-12-05,2023-12-12,2463.84,2414.73,1,-1.99,-2.32,STOP_LOSS,65.1,64.8
SBIN,2023-12-05,2024-02-09,576.06,677.07,9,17.53,17.21,TARGET_2,69.6,73.5
M&M,2023-12-05,2024-03-18,1660.45,1864.31,14,12.28,11.96,TRAIL_STOP,73.4,71.2
ADANIENT,2023-12-05,2024-03-26,2955.41,3105.81,15,5.09,4.77,END_OF_REPLAY,69.7,73.6
AXISBANK,2023-12-12,2024-01-25,1129.16,1057.14,6,-6.38,-6.72,STOP_LOSS,76.2,72.9
BHARTIARTL,2023-12-12,2024-01-25,981.53,1105.97,6,12.68,12.35,TARGET_2,71.7,78.0
HCLTECH,2023-12-12,2024-02-02,1246.05,1426.55,7,14.49,14.17,TARGET_2,69.8,68.7
TATASTEEL,2023-12-12,2024-03-11,122.11,140.48,12,15.05,14.63,TARGET_2,69.0,66.1
ADANIPORTS,2023-12-12,2024-01-25,1028.14,1150.83,6,11.93,11.61,TRAIL_STOP,70.4,74.1
COALINDIA,2023-12-12,2024-02-02,302.05,348.21,7,15.28,14.93,TARGET_2,65.9,68.5
TCS,2023-12-19,2024-03-26,3506.57,3811.42,13,8.69,8.38,TRAIL_STOP,66.1,65.7
HINDUNILVR,2023-12-19,2024-01-25,2461.39,2416.22,5,-1.84,-2.17,STOP_LOSS,66.8,66.3
LT,2023-12-19,2024-04-10,3406.31,3653.83,15,7.27,6.95,END_OF_REPLAY,70.0,71.8
