symbol,entry_date,exit_date,entry_price,exit_price,bars_held,gross_%,net_%,exit_reason,score,win_prob,trend,momentum,volatility,volume,backtest,risk
HDFCBANK,2024-01-02,2024-01-17,828.97,764.1,2,-7.83,-8.09,STOP_LOSS_GAP,65.9,65.5,76,75,55,55,0,55
ICICIBANK,2024-01-02,2024-04-26,986.09,1083.64,15,9.89,9.65,T1_PARTIAL_BE,70.8,74.4,86,65,60,70,0,60
TCS,2024-01-02,2024-03-26,3501.97,3716.95,11,6.14,5.82,TRAIL_STOP,66.1,60.7,91,80,55,20,0,60
SBIN,2024-01-02,2024-01-25,614.23,575.57,3,-6.29,-6.56,STOP_LOSS,75.2,77.3,93,75,60,70,0,60
HINDUNILVR,2024-01-02,2024-01-25,2507.14,2359.59,3,-5.89,-6.22,STOP_LOSS_GAP,73.5,76.2,76,70,90,80,0,55
AXISBANK,2024-01-02,2024-01-25,1104.55,1031.29,3,-6.63,-6.89,STOP_LOSS,72.0,70.2,100,70,55,55,0,55
LT,2024-01-02,2024-02-09,3450.17,3247.92,5,-5.86,-6.2,STOP_LOSS_GAP,71.8,73.1,100,75,55,43,0,60
BHARTIARTL,2024-01-02,2024-01-25,1007.12,1169.65,3,16.14,15.82,TARGET_2_GAP,72.1,73.3,100,67,55,55,0,60
SUNPHARMA,2024-01-02,2024-02-02,1221.99,1365.96,4,11.78,11.46,TARGET_2,70.4,72.1,100,57,60,55,0,60
HCLTECH,2024-01-02,2024-03-26,1333.71,1461.81,11,9.6,9.28,TRAIL_STOP,68.0,67.3,100,57,55,45,0,60
NTPC,2024-01-02,2024-03-18,288.94,314.58,10,8.87,8.51,TRAIL_STOP,68.2,70.4,100,50,55,55,0,60
TITAN,2024-01-02,2024-04-19,3666.18,3466.85,14,-5.44,-5.77,STOP_LOSS,73.3,74.1,100,72,55,55,0,60
TRENT,2024-01-02,2024-02-09,3003.2,3790.47,5,26.21,25.91,TARGET_2_GAP,65.9,68.5,100,40,55,55,0,60
M&M,2024-01-02,2024-03-18,1662.33,1838.54,10,10.6,10.28,TRAIL_STOP,75.8,75.7,100,90,75,33,0,60
